,content,tags,question
0,The manufacturer of the C3 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C3', 'probes'})",Who is the manufacturer of the C3 probe?
1,The manufacturer of the C3 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C3', 'probes'})",Is the manufacturer of the C3 probe ATL?
2,The manufacturer of the C3 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C3', 'probes'})",Who makes the C3 probe?
3,The ATL C3 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'ATL', 'probes', 'compatibility', 'C3'})",What systems is the ATL C3 probe compatible with?
4,The ATL C3 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'ATL', 'probes', 'compatibility', 'C3'})",Does the ATL C3 probe work with the HDI 5000 system?
5,The ATL C3 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'ATL', 'probes', 'compatibility', 'C3'})",Is the ATL C3 probe suitable for the HDI 5000 system?
6,The ATL C3 is a convex array type probe.,"frozenset({'ATL', 'array type', 'C3', 'probes'})",What array type is the ATL C3 probe?
7,The ATL C3 is a convex array type probe.,"frozenset({'ATL', 'array type', 'C3', 'probes'})",Is the ATL C3 probe a convex array probe?
8,The ATL C3 is a convex array type probe.,"frozenset({'ATL', 'array type', 'C3', 'probes'})",What kind of transducer is the ATL C3?
9,"The ATL C3 probe is suitable for the following applications: abdominal, general.","frozenset({'abdominal, general', 'ATL', 'probes', 'applications', 'C3'})",What applications is the ATL C3 probe suitable for?
10,"The ATL C3 probe is suitable for the following applications: abdominal, general.","frozenset({'abdominal, general', 'ATL', 'probes', 'applications', 'C3'})",Can the ATL C3 probe be used for abdominal purposes?
11,"The ATL C3 probe is suitable for the following applications: abdominal, general.","frozenset({'abdominal, general', 'ATL', 'probes', 'applications', 'C3'})",Are there any other uses for the ATL C3 transducer aside from abdominal and general applications?
12,The ATL C3 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'C3', 'stock', 'probes'})",Is the ATL C3 probe currently in stock?
