content,tags,question,score
The manufacturer of the C3 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C3', 'probes'})",Who is the manufacturer of the C3 probe?,1
The manufacturer of the C3 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C3', 'probes'})",Is the manufacturer of the C3 probe ATL?,1
The manufacturer of the C3 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C3', 'probes'})",Who makes the C3 probe?,1
The ATL C3 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'ATL', 'probes', 'compatibility', 'C3'})",What systems is the ATL C3 probe compatible with?,1
The ATL C3 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'ATL', 'probes', 'compatibility', 'C3'})",Does the ATL C3 probe work with the HDI 5000 system?,1
The ATL C3 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'ATL', 'probes', 'compatibility', 'C3'})",Is the ATL C3 probe suitable for the HDI 5000 system?,1
The ATL C3 is a convex array type probe.,"frozenset({'ATL', 'array type', 'C3', 'probes'})",What array type is the ATL C3 probe?,1
The ATL C3 is a convex array type probe.,"frozenset({'ATL', 'array type', 'C3', 'probes'})",Is the ATL C3 probe a convex array probe?,1
The ATL C3 is a convex array type probe.,"frozenset({'ATL', 'array type', 'C3', 'probes'})",What kind of transducer is the ATL C3?,1
"The ATL C3 probe is suitable for the following applications: abdominal, general.","frozenset({'abdominal, general', 'ATL', 'probes', 'applications', 'C3'})",What applications is the ATL C3 probe suitable for?,1
"The ATL C3 probe is suitable for the following applications: abdominal, general.","frozenset({'abdominal, general', 'ATL', 'probes', 'applications', 'C3'})",Can the ATL C3 probe be used for abdominal purposes?,1
"The ATL C3 probe is suitable for the following applications: abdominal, general.","frozenset({'abdominal, general', 'ATL', 'probes', 'applications', 'C3'})",Are there any other uses for the ATL C3 transducer aside from abdominal and general applications?,0
The ATL C3 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'C3', 'stock', 'probes'})",Is the ATL C3 probe currently in stock?,0
The ATL C3 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'C3', 'stock', 'probes'})",Can you still purchase the ATL C3 probe?,0
The ATL C3 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'C3', 'stock', 'probes'})",Are there any ATL C3 probes available for sale?,0
The frequency range of the ATL C3 probe is 3.0 - 3.0 MHz.,"frozenset({'ATL', 'frequency', 'C3', 'probes'})",What is the frequency range of the ATL C3 probe?,1
The frequency range of the ATL C3 probe is 3.0 - 3.0 MHz.,"frozenset({'ATL', 'frequency', 'C3', 'probes'})",Is the frequency range of the ATL C3 probe continuous or discrete?,1
The frequency range of the ATL C3 probe is 3.0 - 3.0 MHz.,"frozenset({'ATL', 'frequency', 'C3', 'probes'})",What are the minimum and maximum frequencies of the ATL C3 probe?,1
The manufacturer of the C4-2 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C4-2', 'probes'})",Who is the manufacturer of the C4-2 probe?,1
The manufacturer of the C4-2 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C4-2', 'probes'})",Is the manufacturer of the C4-2 a well-known company in the medical industry?,1
The manufacturer of the C4-2 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C4-2', 'probes'})",Does ATL make the C4-2 transducer?,1
The ATL C4-2 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'C4-2', 'ATL', 'probes', 'compatibility'})",What systems is the ATL C4-2 probe compatible with?,1
The ATL C4-2 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'C4-2', 'ATL', 'probes', 'compatibility'})",Is the ATL C4-2 probe only used with HDI 5000 systems?,0
The ATL C4-2 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'C4-2', 'ATL', 'probes', 'compatibility'})",Does the ATL C4-2 probe work with the HDI 5000 system?,1
The ATL C4-2 is a convex array type probe.,"frozenset({'ATL', 'array type', 'C4-2', 'probes'})",What type of array is the ATL C4-2 probe?,1
The ATL C4-2 is a convex array type probe.,"frozenset({'ATL', 'array type', 'C4-2', 'probes'})",Is the ATL C4-2 probe suitable for a specific medical application?,1
The ATL C4-2 is a convex array type probe.,"frozenset({'ATL', 'array type', 'C4-2', 'probes'})",What characteristic does the ATL C4-2 probe have?,1
"The ATL C4-2 probe is suitable for the following applications: abdominal, obstetric, gynecologic, general.","frozenset({'C4-2', 'ATL', 'abdominal, obstetric, gynecologic, general', 'probes', 'applications'})",What applications is the ATL C4-2 probe suitable for?,1
"The ATL C4-2 probe is suitable for the following applications: abdominal, obstetric, gynecologic, general.","frozenset({'C4-2', 'ATL', 'abdominal, obstetric, gynecologic, general', 'probes', 'applications'})",Can the ATL C4-2 probe be used for obstetric purposes?,1
"The ATL C4-2 probe is suitable for the following applications: abdominal, obstetric, gynecologic, general.","frozenset({'C4-2', 'ATL', 'abdominal, obstetric, gynecologic, general', 'probes', 'applications'})",Is the ATL C4-2 probe used in general medicine?,1
The ATL C4-2 probe is currently in stock and available for sale.,"frozenset({'ATL', 'C4-2', 'stock', 'probes'})",Is the ATL C4-2 probe currently available for sale?,1
The ATL C4-2 probe is currently in stock and available for sale.,"frozenset({'ATL', 'C4-2', 'stock', 'probes'})",Are there any ATL C4-2 probes in stock?,1
The ATL C4-2 probe is currently in stock and available for sale.,"frozenset({'ATL', 'C4-2', 'stock', 'probes'})",Can you purchase an ATL C4-2 probe?,1
The frequency range of the ATL C4-2 probe is 2.0 - 4.0 MHz.,"frozenset({'ATL', 'frequency', 'C4-2', 'probes'})",What is the frequency range of the ATL C4-2 probe?,1
The frequency range of the ATL C4-2 probe is 2.0 - 4.0 MHz.,"frozenset({'ATL', 'frequency', 'C4-2', 'probes'})",Is the frequency range of the ATL C4-2 probe greater than 4.0 MHz?,0
The frequency range of the ATL C4-2 probe is 2.0 - 4.0 MHz.,"frozenset({'ATL', 'frequency', 'C4-2', 'probes'})",What is the minimum frequency range of the ATL C4-2 transducer?,1
The manufacturer of the C5-2 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C5-2', 'probes'})",Who is the manufacturer of the C5-2 probe?,1
The manufacturer of the C5-2 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C5-2', 'probes'})",Is the manufacturer of the C5-2 transducer also its maker?,1
The manufacturer of the C5-2 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C5-2', 'probes'})",Does ATL make the C5-2 probe?,1
"The ATL C5-2 probe is compatible with the following systems: HDI 1500, HDI 3000, HDI 3500, HDI 5000.","frozenset({'C5-2', 'HDI 1500, HDI 3000, HDI 3500, HDI 5000', 'ATL', 'probes', 'compatibility'})",What systems are compatible with the ATL C5-2 probe?,1
"The ATL C5-2 probe is compatible with the following systems: HDI 1500, HDI 3000, HDI 3500, HDI 5000.","frozenset({'C5-2', 'HDI 1500, HDI 3000, HDI 3500, HDI 5000', 'ATL', 'probes', 'compatibility'})",Is the ATL C5-2 probe compatible with the HDI 1500 system?,1
"The ATL C5-2 probe is compatible with the following systems: HDI 1500, HDI 3000, HDI 3500, HDI 5000.","frozenset({'C5-2', 'HDI 1500, HDI 3000, HDI 3500, HDI 5000', 'ATL', 'probes', 'compatibility'})",Does the ATL C5-2 transducer work with the HDI 5000 system?,1
The ATL C5-2 is a convex array type probe.,"frozenset({'ATL', 'array type', 'C5-2', 'probes'})",What type of array is the ATL C5-2?,1
The ATL C5-2 is a convex array type probe.,"frozenset({'ATL', 'array type', 'C5-2', 'probes'})",Is the ATL C5-2 probe suitable for cardiac applications?,0
The ATL C5-2 is a convex array type probe.,"frozenset({'ATL', 'array type', 'C5-2', 'probes'})",What kind of transducer is the ATL C5-2?,1
"The ATL C5-2 probe is suitable for the following applications: abdominal, general.","frozenset({'C5-2', 'abdominal, general', 'ATL', 'probes', 'applications'})",What can the ATL C5-2 probe be used for?,1
